,"['Au0+', 'Au0+', 'Au0+', 'Au0+', 'Au0+']","['C4-', 'C4-', 'C4-', 'N3-', 'N3-']","['C4-', 'C4-', 'N3-', 'N3-', 'N3-']","['Co0+', 'Co0+', 'Co0+', 'Cu0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['F-', 'F-', 'F-', 'F-', 'F-']","['F-', 'F-', 'O2-', 'O2-', 'O2-']","['F-', 'O2-', 'O2-', 'O2-', 'O2-']","['Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['H+', 'O2-', 'O2-', 'O2-', 'O2-']","['Li0+', 'Li0+', 'Li0+', 'Li0+', 'Li0+']","['N2.6-', 'N2.6-', 'N2.6-', 'N2.6-', 'O2-']","['N3-', 'N3-', 'N3-', 'N3-', 'O2-']","['N3-', 'N3-', 'N3-', 'O2-', 'O2-']","['N3-', 'N3-', 'O2-', 'O2-', 'O2-']","['N3-', 'O2-', 'O2-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ni0+', 'Ni0+', 'Ni0+', 'Yb0+', 'Yb0+']","['O0+', 'O0+', 'O0+', 'O0+', 'O0+']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Pd0+']","['Pd0+', 'Pd0+', 'Pd0+', 'Si0+', 'Si0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['S2-', 'S2-', 'S2-', 'S2-', 'S2-']","['Si0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Si3-', 'Si3-', 'Si3-', 'Si3-', 'Si3-']","['Te2-', 'Te2-', 'Te2-', 'Te2-', 'Te2-']"
0,0.847384137131683,0.7152136233638939,0.0019330561056721699,0.8662488330637363,0.11878317261336352,0.04594243573431606,0.0004411226435657696,0.15818547947321787,0.5781761648855792,0.2863829476559712,0.5638007706535093,0.7481292250233582,0.7108841855449446,0.4697783411886921,0.836573133309289,0.395006500251858,0.771671896078,0.8426975340265246,0.7343685924407909,0.5348895242991163,0.33845007406722183,0.519938015584434,0.28429622951067063,0.7141932469537539,0.813153880233685,0.002354960695652715,0.3016630269521686,0.3256264849218735,0.43125600269644326
1,0.9775052232324255,0.17460938733744108,0.001956134930820771,0.7973116480616699,0.09412430075562306,0.0448748604810303,0.0008095301035503635,,0.5365639061731121,0.28123205990000794,0.5636191542412248,0.8020302815599483,0.7111280525790935,0.4703730119813815,0.836573133309289,0.395006500251858,0.6878340855731784,0.6604116023152884,0.7359319460714799,0.3470984173159409,0.3341542879453724,0.414988249167604,0.28955795037066473,0.7181117711851241,0.9728965472002217,0.005008284917750097,0.30182122573579406,0.8656736056563606,
2,0.10633052889996149,0.7152136191246319,0.7320722143522556,0.8000444912954623,,0.6160903823589728,0.0004411226435657696,,0.5994351133188611,0.22911993436466632,,,,0.4697783411886921,,0.395006500251858,0.41274868191252634,0.2229620752251889,,0.346852215511028,0.33282341398875415,0.3357971328954898,0.8210767783746,0.6582524886159767,0.8131634434993646,,,0.444946449844751,
3,0.020556181589178737,0.17460938733744108,0.0019330561056721699,0.8702903378076997,,,0.0008095301035503635,,0.5781761648855792,0.5391477411268801,,,,0.4703730119813815,,,0.6720386272110244,,,0.3472654434006089,0.3297048853276993,0.13320639642339352,0.24730736633140604,0.6843056818545767,0.9728779835447993,,,0.9369182803040907,
4,0.17536546892092356,,0.001956134930820771,,,,,,0.5365639061731121,0.7302656879159646,,,,,,,0.771671896078,,,0.34785230083734286,0.31283627905615435,0.7555142445065111,0.28454832565829197,0.5792052295378076,,,,,
5,0.16390726149759832,,0.7320722143522556,,,,,,0.5994351133188611,0.13704266651009697,,,,,,,0.6873797482636119,,,0.7113533717277907,0.31265861587862176,0.8583477255632306,0.2916557718797487,0.25357990298125627,,,,,
6,0.35525265303350995,,,,,,,,,,,,,,,,0.41274868191252634,,,0.3049534249380318,0.31208704103062046,,0.8269850356197161,0.5017056059375564,,,,,
7,0.3636031857072826,,,,,,,,,,,,,,,,,,,0.30474703671649245,0.3130192659490934,,0.2461191478444683,0.5436937745908392,,,,,
8,0.33888664620676623,,,,,,,,,,,,,,,,,,,0.3036550441161743,0.751423374081656,,,0.28204420801238883,,,,,
9,0.3545688279590507,,,,,,,,,,,,,,,,,,,0.3049349246255774,0.9163776510072082,,,0.4258888520821537,,,,,
