,[]
0,6.997211657325182
1,6.997413319559994
2,6.99694909210312
3,6.9971316204622696
4,30.595510655162492
5,-1.2130656740208106
6,0.2445896278765429
7,-12.772168970806554
8,0.517228399045474
9,0.021664576912967005
10,30.595510655162492
11,6.997211657325182
12,6.997413319559994
13,6.99694909210312
14,6.9971316204622696
15,15.695542641218118
16,15.688807531233747
17,0.08193912303086137
18,-14.837709439724819
19,0.0003544772256768962
20,-40.55560066537327
21,12.743810746883373
22,12.742747334927643
23,2.4988148181220717
24,2.4988148181220717
25,0.013756372870652567
