,"['Al0+', 'Co0+', 'Co0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'N3-']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']"
0,7.361102045074874,-5.258400261549961,-1.048898190633134,4.026752025120184
1,7.194789292248583,-5.258400261549961,-1.019122188216296,4.023684339687782
2,,-5.258400261549961,-1.0194766653657839,4.030874170505441
3,,-5.258400261549961,-1.049252747678031,4.029699636969652
4,,4.223234460841908,4.814155271518795,4.026752025120184
5,,4.223234460841908,4.863782082403417,4.023684339687782
6,,4.223234460841908,-1.0815104028453368,4.030874170505441
7,,4.223234460841908,-1.0758384578022289,4.029699636969652
8,,,-1.075483980593678,
9,,,-1.0818646476270455,
10,,,4.5979241124763215,
11,,,4.616356909990218,
12,,,-1.048898190633134,
13,,,-1.019122188216296,
14,,,-1.0194766653657839,
15,,,-1.049252747678031,
16,,,4.814155271518795,
17,,,4.863782082403417,
