,"['Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Np0+', 'Np0+', 'Np0+', 'Np0+']","['Al0+', 'Al0+', 'Pu0+', 'Pu0+', 'Pu0+', 'Pu0+']","['Al0+', 'Al0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Al0+', 'Al0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['C3.2-', 'C3.2-', 'C3.2-', 'C3.2-', 'C3.2-', 'C3.2-']","['Ca0+', 'Ca0+', 'Ca0+', 'Si0+', 'Si0+', 'Si0+']","['Cl-', 'Cl-', 'Cl-', 'Cl-', 'Cl-', 'Cl-']","['Cl-', 'Cl-', 'N3-', 'N3-', 'N3-', 'N3-']","['Cl-', 'Cl-', 'O2-', 'O2-', 'O2-', 'O2-']","['Cl-', 'N3-', 'N3-', 'N3-', 'N3-', 'N3-']","['Co0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Dy0+', 'Dy0+', 'Dy0+', 'Dy0+', 'Si0+', 'Si0+']","['Er0+', 'Er0+', 'Er0+', 'Er0+', 'Si0+', 'Si0+']","['F-', 'F-', 'F-', 'F-', 'F-', 'F-']","['F-', 'F-', 'F-', 'F-', 'F-', 'H+']","['F-', 'F-', 'F-', 'F-', 'F-', 'O2-']","['F-', 'F-', 'F-', 'F-', 'O2-', 'O2-']","['F-', 'F-', 'F-', 'O2-', 'O2-', 'O2-']","['F-', 'F-', 'O2-', 'O2-', 'O2-', 'O2-']","['F-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['F0+', 'F0+', 'F0+', 'F0+', 'F0+', 'F0+']","['F0+', 'F0+', 'F0+', 'O0+', 'O0+', 'O0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['H+', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['H-', 'H-', 'H-', 'H-', 'H-', 'H-']","['H0+', 'H0+', 'H0+', 'H0+', 'H0+', 'H0+']","['H0.5+', 'H0.5+', 'H0.5+', 'H0.5+', 'H0.5+', 'H0.5+']","['Hf0+', 'Hf0+', 'Hf0+', 'Rh0+', 'Rh0+', 'Rh0+']","['Hf0+', 'Hf0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ho0+', 'Ho0+', 'Ho0+', 'Ho0+', 'Si0+', 'Si0+']","['Li0+', 'Li0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+']","['N3-', 'N3-', 'N3-', 'N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'O2-', 'O2-', 'O2-', 'O2-']","['N3-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Nb0+', 'Nb0+', 'Nb0+', 'Nb0+', 'Nb0+', 'Nb0+']","['Nd0+', 'Nd0+', 'Nd0+', 'Nd0+', 'Nd0+', 'Nd0+']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Zr0+', 'Zr0+']","['O0+', 'O0+', 'O0+', 'O0+', 'O0+', 'O0+']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Pd0+']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Si0+', 'Si0+']","['Pr0+', 'Pr0+', 'Pr0+', 'Pr0+', 'Pr0+', 'Pr0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Rh0+', 'Rh0+', 'Rh0+', 'Rh0+', 'Rh0+', 'Rh0+']","['Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['S2-', 'S2-', 'S2-', 'S2-', 'S2-', 'S2-']","['Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']","['Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-']","['Se2-', 'Se2-', 'Se2-', 'Se2-', 'Se2-', 'Se2-']","['Si0+', 'Si0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Si0+', 'Si0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+']","['Si0+', 'Si0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+']","['Sm0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Sn0+', 'Sn0+', 'Sn0+', 'Sn0+', 'Sn0+', 'Sn0+']","['Ta0+', 'Ta0+', 'Ta0+', 'Ta0+', 'Ta0+', 'Ta0+']","['Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Tc0+', 'Tc0+', 'Tc0+', 'Tc0+', 'Tc0+', 'Tc0+']","['Te-', 'Te-', 'Te-', 'Te-', 'Te-', 'Te-']","['Ti0+', 'Ti0+', 'Ti0+', 'Ti0+', 'Ti0+', 'Ti0+']","['Tm0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+']","['W0+', 'W0+', 'W0+', 'W0+', 'W0+', 'W0+']","['Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+']"
0,0.07072267366158165,0.22758096793735152,0.052787765441099505,0.745412393996688,0.936956210437897,0.0026448246668958225,0.34054939841720266,0.045943657554342494,0.11223030513533323,0.49321114016387657,0.27324402310097523,0.8665759950540299,0.7074231475898602,0.6705576154622138,0.06208895454745715,0.1171248911628241,0.8108348525943379,0.022929660875463023,0.8679111676355128,0.4588643638611994,0.9475734107045141,0.2021481122140126,0.474896916885861,0.0522061863898435,0.0008036457432086117,0.6366593951833245,0.5188533187258018,0.9100352488538319,0.24514674456820243,0.8416883663547774,0.7112700533939583,0.519925812819061,0.16265639472304758,0.5497542667369204,0.6132091713227319,0.1853449461096697,0.7563133653168959,0.7821880136618042,0.20291334477444553,0.2412957372855169,0.30855791187295234,0.05642208200762359,0.2041060713200311,0.69008294184594,0.6802745386962311,0.07963338679391967,0.3501577248770026,0.036247849166328894,0.012405643708317426,0.7172228444709472,0.15624344612629004,0.5688261700800855,0.9111133214995528,0.031073648116167446,0.789754112462991,0.9217718105234388,0.9873353203249683,0.902791502418766,0.04266240445181223,0.27263413088086,0.4600520096257134,0.0025345587457120365,0.6322277971631267,0.10445187535184722,0.6873967764345752,0.17173006552631287
1,0.6200556903554412,0.6157842441453155,0.8176696691905736,0.648665162966472,0.9566890296410138,0.002404652802049582,0.8992323760375802,0.07234615943347329,0.1117381990605845,0.49299287401494807,0.2785775357053887,,0.7064788937660803,0.7965943314716224,,,0.8119802725581823,0.022866186365486936,0.862334703725649,0.5919257988162795,0.948127926662404,0.20178213614425297,0.4906435003757708,0.06620812567774609,,0.6641599929488889,0.5028605009761768,0.32921135879830327,0.44496747580489665,0.8417262652958948,0.3178127776985257,0.5057266699901934,,,0.6132091713227319,0.130618341974579,0.7563133653168959,0.6881172203647934,,0.9899863134992054,0.23175749150847538,0.031161766579097215,0.2022350173391267,0.29890515658526395,0.6583593909480054,0.07963372514993255,0.3526823645889741,0.012293247696174731,0.012405708930032344,0.7166073291523894,0.14717406238812025,0.5620183078347902,0.8153451060797025,0.03146615238463924,,,0.9706782243178771,,0.6315681198138591,0.2726371161336497,,0.0026987991473615886,0.639478176232978,,0.678933033971943,0.24783472551970803
2,0.44039438380926527,,,0.7453190005129852,,0.0006306779454010003,,0.011596231215312051,0.11195740675185435,,0.27281069359574034,,0.33093621423786274,0.6705525677993713,,,0.8120910581024281,,0.8642235851357101,0.5925865067505798,,0.20248951200660903,0.6263501958227228,,,,0.5188587885790151,0.3224810827579226,,0.8421106901143279,0.406506036686261,0.9054248340018956,,,0.6132091713227319,0.20084393721287758,0.15031636228554324,0.010489122610738812,,0.719892112316669,0.3046397472748907,9.355542354182899e-05,0.20157900286516392,0.6900453805688036,0.1042011275171503,,,,,0.720061973767242,,0.8440245484222211,0.48497077465335026,,,,,,0.5008453988446836,,,,0.03238928262672013,,,0.16161046934689352
3,0.6289867799594124,,,0.6484403649119661,,0.0009056972780855191,,0.009305523906406038,0.11216923815987145,,0.27786765648696193,,0.32631760822072814,0.7965981719801107,,,0.8100197437623148,,0.8576560373773847,0.5921808541664956,,0.20184141797652816,0.712069497871785,,,,0.508760890109044,0.40880841550353525,,0.8419721789207113,0.23975102288663355,0.9844057266213686,,,0.6132091713227319,0.19846155918657188,0.004026967252825115,0.010590512733351534,,0.29516970020753897,0.24386407663945311,0.7415976713006552,0.20185617897397845,0.29864691728178194,0.6057935756323658,,,,,0.7125127026567062,,0.41805824027101357,0.3541212545652282,,,,,,0.7609074304021375,,,,0.004214197743242966,,,0.16689675848632002
4,,,,,,0.002237725432017324,,,,,,,0.4556373284177737,,,,0.8683827303947648,,0.28667613253256374,0.5916593640103741,,0.20177838020242875,0.8006701817526156,,,,,0.48011602961036004,,,0.5916573995990452,,,,,0.1985325565277939,0.08050845955828624,,,0.2549039163188044,,0.00023992304911848975,0.20254418761553133,0.04891442268655147,0.6821471307375715,,,,,0.011612375052067544,,0.6543373028602769,0.8114460343987335,,,,,,0.4951141145433765,,,,,,,0.044991418842756904
5,,,,,,0.0016733319076012317,,,,,,,0.32273900263267,,,,0.8731021858851641,,0.28771361580642707,0.22440902961920867,,0.20136815360986468,0.7974021725617302,,,,,0.10388597519043848,,,0.593401066757603,,,,,0.20107731143794416,0.5258278048905825,,,0.36088742368257826,,0.08730296402740359,0.2016659783385724,,0.6553485540121649,,,,,0.011612375052067544,,0.5806456935626321,0.7518058348778925,,,,,,0.7550336342955396,,,,,,,0.05028681758374119
6,,,,,,,,,,,,,0.5304166443274045,,,,0.8717627536809757,,0.28576984109866443,0.22423121841036678,,0.20166595370206392,0.7982166868506181,,,,,0.7525591528420992,,,0.9334537209479823,,,,,,0.031061606162324274,,,0.8302826377256511,,0.007991403000419181,0.6654894094178172,,0.1046320317301717,,,,,0.010931564477746758,,0.5073245682028393,0.9737547832645658,,,,,,0.04269473594391964,,,,,,,0.07819273969309053
7,,,,,,,,,,,,,0.5073126327913449,,,,0.8706747844169993,,0.2870306215381269,0.6262588331483646,,0.20190046847640306,0.7994339750876557,,,,,0.48011602961036004,,,0.3929975804250827,,,,,,0.43806529709455116,,,0.03430599217329274,,0.7825950407829547,0.6617894392938632,,0.6079356504219615,,,,,0.7172228444709472,,0.7609301320432188,0.8066435204765682,,,,,,0.6303811597875036,,,,,,,0.4104137211295903
8,,,,,,,,,,,,,0.6231414575628862,,,,0.35286035741562355,,0.4416673804353288,0.6264932843231197,,0.5971472703591875,0.3699526034747347,,,,,0.10388597519043848,,,,,,,,,0.21659972339471445,,,0.37840432303443383,,0.16796372263957182,0.5739609622652267,,,,,,,0.7166073291523894,,0.7732167938552614,0.692566437652938,,,,,,0.011148509159158087,,,,,,,0.23591836938299476
9,,,,,,,,,,,,,0.7391662131559035,,,,0.3528408338820764,,0.44273921202054844,0.7306719484691518,,0.7588950136591288,0.23729638271690284,,,,,0.8160631621242421,,,,,,,,,0.0030280054266310957,,,0.7248217404018458,,0.2539314173886316,0.5702299102050947,,,,,,,0.720061973767242,,0.19628220627981754,0.7010262725156944,,,,,,0.010137401695879187,,,,,,,0.6713724242593482
