,"['Al0+', 'Co0+', 'Co0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'N3-']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']"
0,0.4210258026669097,0.2924720371144756,0.000755717646977379,0.0046430708231710305
1,0.5224991538674376,0.2924720371144756,0.00034782604955139513,0.002850510246288761
2,,0.2924720371144756,0.0010431152263961282,0.003902210316630332
3,,0.2924720371144756,0.0006756755557139687,0.008053177186962725
4,,0.9118788661277546,0.00016465324739786468,0.0046430708231710305
5,,0.9118788661277546,0.0001629731694242463,0.002850510246288761
6,,0.9118788661277546,0.00032754650355292506,0.003902210316630332
7,,0.9118788661277546,0.0006589061520936624,0.008053177186962725
8,,,0.0013183914369736755,
9,,,1.43142821999745e-07,
10,,,0.00041516591304207803,
11,,,0.00027686026840702537,
12,,,0.000755717646977379,
13,,,0.00034782604955139513,
14,,,0.0010431152263961282,
15,,,0.0006756755557139687,
16,,,0.00016465324739786468,
17,,,0.0001629731694242463,
