,['Au0+'],['Co0+'],['Cu0+'],['F-'],['Fe0+'],['H0+'],['Ni0+'],['Ru0+'],['W0+']
0,0.606869021201143,0.25781499899778754,0.14295728739299535,0.11947632424866643,0.4834019545852341,0.3733012439092957,0.6746877988935346,0.1798035175464056,0.08356045016145949
1,,0.2163135310212005,0.26062828471238775,0.11940409724340034,0.8350993572292937,0.37367071655671785,0.5367096793971292,0.23316250122100085,0.7184911004594958
2,,0.4688416180577672,0.6308353636313773,,0.9629289699646085,,0.24731728537513975,0.1754662246906022,0.10236244400016242
3,,,,,0.7252581724264041,,0.15381397248087184,0.21107254561925012,0.6231143497436366
4,,,,,,,0.8086222578532855,,0.9522899901798944
5,,,,,,,0.17965316907214351,,0.2512947649999847
6,,,,,,,0.7689501687316341,,0.439103251128475
7,,,,,,,0.8248241935765844,,0.8986996523284666
8,,,,,,,0.3768844147626982,,0.43779846178681436
9,,,,,,,0.3482534165910009,,0.1319621204668027
10,,,,,,,0.8524041860187195,,0.272230369691747
11,,,,,,,0.9973939340243531,,0.17666637876734845
12,,,,,,,0.49163906415373226,,
13,,,,,,,0.262539928963174,,
14,,,,,,,0.51469358164224,,
15,,,,,,,0.6522452535642779,,
16,,,,,,,0.5904435088150933,,
17,,,,,,,0.6096848834874217,,
18,,,,,,,0.9857905322635454,,
19,,,,,,,0.9867320032232655,,
20,,,,,,,0.17890678332974197,,
21,,,,,,,0.7977423964906203,,
22,,,,,,,0.1395141426864492,,
23,,,,,,,0.10341922007893886,,
24,,,,,,,0.4786236578981503,,
25,,,,,,,0.7513704209632327,,
26,,,,,,,0.06275403718654317,,
27,,,,,,,0.04495410389224153,,
28,,,,,,,0.05763799627661189,,
29,,,,,,,0.02779392574173617,,
30,,,,,,,0.03875581161547656,,
31,,,,,,,0.15132187823907436,,
32,,,,,,,0.7964996615550661,,
33,,,,,,,0.8888260863651899,,
34,,,,,,,0.21878650936908808,,
35,,,,,,,0.2435947893582026,,
