,"['Au0+', 'Au0+']","['Au0+', 'Li0+']","['Au0+', 'Tc0+']","['B0+', 'B0+']","['B3-', 'B3-']","['Ba0+', 'Ba0+']","['C0+', 'C0+']","['C0+', 'O0+']","['C4-', 'C4-']","['Ca0+', 'Ca0+']","['Cl0+', 'Cl0+']","['Co0+', 'Co0+']","['Co0+', 'Li0+']","['Co0+', 'Rh0+']","['Co0+', 'Tc0+']","['Cr0+', 'Cr0+']","['Cr0+', 'Fe0+']","['Cr0+', 'Ir0+']","['Cr0+', 'Tc0+']","['Cu0+', 'Cu0+']","['Cu0+', 'Ni0+']","['Cu0+', 'Pd0+']","['Cu0+', 'Tc0+']","['Er0+', 'Er0+']","['F-', 'F-']","['Fe0+', 'Fe0+']","['Fe0+', 'Pt0+']","['Fe0+', 'Tc0+']","['Ga0+', 'Ga0+']","['H-', 'H-']","['Hf0+', 'Hf0+']","['Hg0+', 'Hg0+']","['Ir0+', 'Ir0+']","['Ir0+', 'Mn0+']","['Ir0+', 'Tc0+']","['Ir0+', 'V0+']","['La0+', 'La0+']","['La0+', 'Y0+']","['Li0+', 'Li0+']","['Li0+', 'Ru0+']","['Mn0+', 'Mn0+']","['Mn0+', 'Ni0+']","['Mn0+', 'Tc0+']","['Mo0+', 'Mo0+']","['Ni0+', 'Ni0+']","['Ni0+', 'Pt0+']","['Ni0+', 'Tc0+']","['O0+', 'O0+']","['O2-', 'O2-']","['Os0+', 'Os0+']","['Os0+', 'Pd0+']","['Os0+', 'Pt0+']","['Os0+', 'Sc0+']","['Pd0+', 'Pd0+']","['Pd0+', 'Pt0+']","['Pd0+', 'Tc0+']","['Pt0+', 'Pt0+']","['Pt0+', 'Tc0+']","['Re0+', 'Re0+']","['Rh0+', 'Rh0+']","['Rh0+', 'Tc0+']","['Ru0+', 'Ru0+']","['Sc0+', 'Sc0+']","['Sc0+', 'Tc0+']","['Sc0+', 'Y0+']","['Si0+', 'Si0+']","['Si4-', 'Si4-']","['Sr0+', 'Sr0+']","['Tc0+', 'Tc0+']","['Tc3-', 'Tc3-']","['Te2-', 'Te2-']","['Ti0+', 'Ti0+']","['U0+', 'U0+']","['W0+', 'W0+']","['Y0+', 'Y0+']","['Zn0+', 'Zn0+']","['Zr0+', 'Zr0+']"
0,-930.9168993333324,5689.505401333331,317.79587099999986,521.6852113333333,471.2872520000001,19.384413000000013,225.3893663333334,272.50702266666667,389.62317766666666,604.6792106666668,320.7823703333334,854.4536526666667,1609.0120946666673,567.4603749999998,475.677772,954.5263559999997,923.4151513333339,1405.383492666667,1375.966937333333,-1398.3212149999997,236.77901233333296,-2756.450451333332,509.32909966666665,419.19627933333345,273.71870066666656,741.6038186666668,-97.9772480000001,531.9218219999998,358.31997299999983,310.6014503333334,-201.24687733333334,2845.0016333333333,567.4864773333331,4414.983229,411.4773056666668,556.9775956666667,216.76169166666668,50.52983633333334,2057.868393999999,1663.9813000000001,421.6757596666667,75.96190699999984,722.4806079999998,445.55840366666683,694.5706296666662,471.9376233333332,475.3132653333335,255.16016566666676,157.3571486666667,843.7530650000004,397.01755900000006,384.6316596666668,381.34081399999997,482.78279833333335,393.552161,431.2400393333333,351.5638619999998,393.2000873333334,351.0101876666667,607.9355100000006,477.95806733333364,574.459610333333,160.17458466666673,1111.595850333334,90.65536766666669,1860.7701716666677,483.25387766666677,1225.7672796666673,630.7317396666668,664.2526583333333,445.0618886666669,-221.43589866666682,-122.05261300000014,578.5710896666665,-661.8461066666664,1350.4266019999993,-0.5481879999999943
1,456.352119666667,5689.524384333333,317.8311536666668,567.4004283333335,,,,298.4144443333334,389.62633966666664,380.8599776666668,,423.06223099999994,1609.0139969999993,567.4928126666667,475.6387003333334,1177.7387306666667,923.4800023333332,1405.461477666667,1375.878665,1283.9772083333332,236.77848100000006,-2756.0145363333354,509.32645399999996,404.09402366666677,,333.12385933333337,-97.42098733333331,531.9234659999997,296.38427033333335,310.6192073333332,-308.76368033333347,,452.02258999999987,4356.030936999999,411.4959543333334,557.0075083333328,-48.901284,180.10743000000002,2172.777567999999,1663.9230033333333,549.3749589999999,120.75012733333324,722.4618516666668,442.1115870000001,723.9741136666665,471.96683466666656,475.31312266666674,228.15513333333328,155.01381766666668,754.3676293333333,397.0114260000002,384.5818930000002,381.4183266666666,471.92100900000014,393.5497613333335,431.2402883333334,460.8402293333332,393.166702,366.34082633333327,837.6484093333328,477.9703136666667,756.937285,702.4298336666665,1111.606431999999,91.56640400000002,1856.602288,482.72892133333335,,393.82173900000004,2296.384789,,495.8617313333334,85.31654600000003,548.349815,341.8959313333339,,
2,-320.70819333333304,,,521.6852409999998,,,,,415.2472986666666,178.7593056666667,,384.59132433333326,,,,1247.9642889999998,,,,449.8573386666667,,,,406.1914333333334,,333.90689499999985,,,431.5327446666668,,,,579.8767773333333,,,,-23.57757133333332,,,,292.1258463333332,149.0654240000001,,578.7408996666667,131.53355033333344,,,439.923711666667,,714.433924333334,,,,434.69125799999983,,,-261.43171499999977,,366.0260529999999,-409.42673933333344,,605.8877503333334,304.51984666666687,,,637.8612453333332,,,396.40536266666663,405.49315333333334,,,,380.0717273333333,288.5102006666666,,
3,214.15413433333353,,,,,,,,451.644649,260.0042856666666,,459.5755710000003,,,,1299.5000606666667,,,,447.2988986666667,,,,395.17074266666674,,333.0389133333335,,,445.3009613333332,,,,464.9656686666665,,,,,,,,284.2466756666667,-175.0250593333333,,600.5532873333333,608.1092703333335,,,428.15128400000003,,,,,,,,,-274.5999163333336,,367.37458400000014,605.3705720000004,,846.548929666667,375.9517506666663,,,644.3801233333332,,,365.2765523333335,291.94308700000016,,,,398.9516393333333,1.5398166666666657,,
4,509.2393406666667,,,,,,,,415.2472986666665,195.82138099999997,,676.0133633333334,,,,1235.5211736666668,,,,-17.34625466666671,,,,,,333.9624623333335,,,455.7818103333334,,,,406.69592733333326,,,,,,,,274.832099,178.09795900000006,,518.4040996666668,157.708095,,,,,,,,,,,,192.26517433333333,,369.2991196666666,-31.03651133333335,,468.40518300000014,65.17824600000002,,,492.77646733333285,,,398.65199699999994,1069.7723369999999,,,,480.9270496666666,-287.13984933333313,,
5,510.28618899999975,,,,,,,,451.644649,166.25555833333297,,676.497385,,,,1028.2277613333335,,,,-16.75358600000008,,,,,,349.38042133333323,,,473.31564933333306,,,,360.26262299999985,,,,,,,,292.021846,5.817279999999755,,474.4183696666666,390.2732456666665,,,,,,,,,,,,188.21963866666673,,,-127.29729799999996,,478.43528566666663,561.1466219999999,,,490.5007903333332,,,,1207.697162,,,,459.32242633333317,381.1269456666666,,
6,,,,,,,,,228.89642333333327,174.86504966666658,,678.2333960000004,,,,1066.4506236666668,,,,485.8264776666667,,,,,,349.83922133333334,,,648.929092666666,,,,333.63426699999997,,,,,,,,283.99182833333356,-255.90850733333318,,-360.6969089999995,210.56816666666677,,,,,,,,,,,,95.33144499999997,,,722.3622103333333,,479.2036836666666,336.37017599999996,,,871.2045206666667,,,,1180.4636026666667,,,,612.7140100000001,-269.595133333333,,
7,,,,,,,,,228.84374799999992,152.22480400000063,,678.2503310000001,,,,1031.6524960000004,,,,510.86729633333357,,,,,,353.6043689999999,,,,,,,373.7331183333335,,,,,,,,271.16094666666663,249.46421366666684,,-359.7664846666665,369.8330843333333,,,,,,,,,,,,106.68186166666652,,,-152.02131366666666,,467.9408206666665,156.42202433333318,,,873.9975046666665,,,,2065.8303436666665,,,,637.3693686666664,,,
8,,,,,,,,,228.84856733333334,,,458.0394320000002,,,,,,,,-13.826059333333243,,,,,,353.1010206666667,,,,,,,343.28321766666676,,,,,,,,987.23924,,,-280.1537369999999,694.708031,,,,,,,,,,,,,,,801.675158333333,,436.2411363333331,,,,578.5386970000001,,,,1298.255907,,,,580.8254680000002,,,
9,,,,,,,,,,,,325.245625,,,,,,,,-17.73894066666666,,,,,,287.0358390000001,,,,,,,315.14827099999997,,,,,,,,1092.2540236666682,,,-283.7482633333331,701.8718250000001,,,,,,,,,,,,,,,-948.8671180000001,,422.66095266666656,,,,591.8402573333337,,,,-1183.7354206666666,,,,645.1610606666665,,,
